id_hospital,latitude,longitude,name,zipcode,province,district,subdistrict,phone
26,13.72767866,100.549499,ศูนย์บริการสาธารณสุข 16 ลุมพินี,10330,กรุงเทพมหานคร,เขตปทุมวัน,แขวงลุมพินี,22527776
27,13.8026116,100.5340469,ศูนย์บริการสาธารณสุข 3 บางซื่อ,10800,กรุงเทพมหานคร,เขตบางซื่อ,แขวงบางซื่อ,25868420
28,13.69046305,100.3702697,ศูนย์บริการสาธารณสุข 48 นาควัชระอุทิศ,10160,กรุงเทพมหานคร,เขตหนองแขม,แขวงหนองแขม,24212147
29,13.776818,100.579514,ศูนย์บริการสาธารณสุข 25 ห้วยขวาง,10310,กรุงเทพมหานคร,เขตห้วยขวาง,แขวงห้วยขวาง,22772660
30,13.6824825,100.5482606,ศูนย์บริการสาธารณสุข 55 เตชะสัมพันธ์,10120,กรุงเทพมหานคร,เขตยานนาวา,แขวงช่องนนทรี,22943247
31,13.65028301,100.488637,ศูนย์บริการสาธารณสุข 54 ทัศน์เอี่ยม,10140,กรุงเทพมหานคร,เขตทุ่งครุ,แขวงบางมด,24263514
32,13.73940159,100.4887579,ศูนย์บริการสาธารณสุข 33 วัดหงส์รัตนาราม,10600,กรุงเทพมหานคร,เขตบางกอกใหญ่,แขวงวัดอรุณ,24725895
33,13.73583819,100.637742,ศูนย์บริการสาธารณสุข 37 ประสงค์-สุดสาคร ตู้จินดา,10250,กรุงเทพมหานคร,เขตสวนหลวง,แขวงสวนหลวง,23625238
34,13.79241524,100.5395787,ศูนย์บริการสาธารณสุข 11 ประดิพัทธ์,10400,กรุงเทพมหานคร,เขตพญาไท,แขวงสามเสนใน,22711122
35,13.79861259,100.5196686,ศูนย์บริการสาธารณสุข 38 จี๊ด-ทองคำ บำเพ็ญ,10300,กรุงเทพมหานคร,เขตดุสิต,ถนนทหารแขวงถนนนครไชยศรี,22433157
36,13.66155652,100.4353305,ศูนย์บริการสาธารณสุข 42 ถนอม ทองสิมา,10150,กรุงเทพมหานคร,เขตบางขุนเทียน,แขวงแสมดำ,24152052
37,13.859329,100.7041,ศูนย์บริการสาธารณสุข 64 คลองสามวา,10510,กรุงเทพมหานคร,เขตคลองสามวา,แขวงบางชัน,25480496
38,13.76972865,100.5581194,ศูนย์บริการสาธารณสุข 4 ดินแดง,10400,กรุงเทพมหานคร,เขตดินแดง,แขวงดินแดง,22461553
39,13.72789766,100.5729744,ศูนย์บริการสาธารณสุข 10 สุขุมวิท,10110,กรุงเทพมหานคร,เขตคลองเตย,แขวงคลองตัน,22584892
40,13.79632446,100.508031,ศูนย์บริการสาธารณสุข 31 เอิบ-จิตร ทังสุบุตร,10700,กรุงเทพมหานคร,เขตบางพลัด,แขวงบางอ้อ,24347303
41,13.63549651,100.6103736,ศูนย์บริการสาธารณสุข 41 คลองเตย,10110,กรุงเทพมหานคร,เขตคลองเตย,แขวงคลองเตย,22402056
42,13.81075833,100.5947968,ศูนย์บริการสาธารณสุข 66 ตำหนักพระแม่กวนอิม โชคชัย 4,10230,กรุงเทพมหานคร,ตลาดพร้าว,เข,25394828
43,13.68085915,100.5310822,ศูนย์บริการสาธารณสุข 7 บุญมี ปุรุราชรังสรรค์,10120,กรุงเทพมหานคร,เขตยานนาวา,แขวงบางโพงพาง,22842331
44,13.76045971,100.6389472,ศูนย์บริการสาธารณสุข 35 หัวหมาก,10240,กรุงเทพมหานคร,เขตบางกะปิ,แขวงหัวหมาก,23743550
45,13.70008788,100.5265566,ศูนย์บริการสาธารณสุข 18 มงคล วอนวังตาล,10120,กรุงเทพมหานคร,เขตบางคอแหลม,แขวงบางโคล่,22110860
46,13.83928585,100.5464126,ศูนย์บริการสาธารณสุข 17 ประชานิเวศน์,10900,กรุงเทพมหานคร,เขตจตุจักร,แขวงลาดยาว,25916306
47,13.74565477,100.4969839,ศูนย์บริการสาธารณสุข 1 สะพานมอญ,10200,กรุงเทพมหานคร,เขตพระนคร,แขวงวังบูรพาภิรมย์,22227874
48,13.72330363,100.722034,ศูนย์บริการสาธารณสุข 46 กันตารัติอุทิศ,10520,กรุงเทพมหานคร,เขตลาดกระบัง,แขวงลาดกระบัง,23290320
49,13.76913834,100.6869507,ศูนย์บริการสาธารณสุข 68 สะพานสูง,10240,กรุงเทพมหานคร,เขตสะพานสูง,แขวงสะพานสูง,23722225
50,13.84957401,100.581176,ศูนย์บริการสาธารณสุข 24 บางเขน,10900,กรุงเทพมหานคร,เขตจตุจักร,แขวงลาดยาว,25798953
51,13.902771,100.579737,ศูนย์บริการสาธารณสุข 53 ทุ่งสองห้อง,10210,กรุงเทพมหานคร,เขตหลักสี่,แขวงทุ่งสองห้อง,25752650
52,13.77585869,100.46628,ศูนย์บริการสาธารณสุข 30 วัดเจ้าอาม,10700,กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงบางขุนนนท์,24230234
53,13.72227831,100.4813932,ศูนย์บริการสาธารณสุข 27 จันทร์ ฉิมไพบูลย์,10600,กรุงเทพมหานคร,เขตธนบุรี,แขวงบางยี่เรือ,24651000
54,13.76097775,100.5058289,ศูนย์บริการสาธารณสุข 9 ประชาธิปไตย,10200,กรุงเทพมหานคร,เขตพระนคร,แขวงบางขุนพรหม,22828494
55,13.67911162,100.4958203,ศูนย์บริการสาธารณสุข 58 ล้อม-พิมเสน ฟักอุดม,10140,กรุงเทพมหานคร,เขตราษฎร์บูรณะ,แขวงบางปะกอก,24277512
56,13.74923134,100.5507507,ศูนย์บริการสาธารณสุข 2 วัดมักกะสัน,10400,กรุงเทพมหานคร,เขตราชเทวี,แขวงมักกะสัน,22517735
57,13.73826599,100.4957047,ศูนย์บริการสาธารณสุข 26 เจ้าคุณพระประยูรวงศ์,10600,กรุงเทพมหานคร,เขตธนบุรี,แขวงวัดกัลยาณ์,24650014
58,13.7728816,100.6552394,ศูนย์บริการสาธารณสุข 50 บึงกุ่ม,10240,กรุงเทพมหานคร,เขตบึงกุ่ม,แขวงคลองกุ่ม,23752897
59,13.69182347,100.5077999,ศูนย์บริการสาธารณสุข 12 จันทร์เที่ยง เนตรวิเศษ,10120,กรุงเทพมหานคร,เขตบางคอแหลม,แขวงบางโคล่,22917637
60,13.6770938,100.6149566,ศูนย์บริการสาธารณสุข 8 บุญรอด รุ่งเรือง,10260,กรุงเทพมหานคร,เขตบางนา,แขวงบางนา,23616760
61,13.73630522,100.5227087,ศูนย์บริการสาธารณสุข 5 จุฬาลงกรณ์,10330,กรุงเทพมหานคร,เขตปทุมวัน,แขวงวังใหม่,22141057
62,13.77327349,100.3543965,ศูนย์บริการสาธารณสุข 67 ทวีวัฒนา,10170,กรุงเทพมหานคร,เขตทวีวัฒนา,แขวงทวีวัฒนา,24414680
63,13.68459988,100.6056671,ศูนย์บริการสาธารณสุข 32 มาริษ ตินตมุสิก,10260,กรุงเทพมหานคร,เขตพระโขนง,แขวงพระโขนงใต้,23311773
64,13.75926146,100.5168048,ศูนย์บริการสาธารณสุข 6 สโมสรวัฒนธรรมหญิง,10300,กรุงเทพมหานคร,เขตดุสิต,แขวงสี่แยกมหานาค,22828493
65,13.70509923,100.4684162,ศูนย์บริการสาธารณสุข 29 ช่วง นุชเนตร,10150,กรุงเทพมหานคร,เขตจอมทอง,แขวงบางค้อ,24766493
66,13.71227199,100.5247106,ศูนย์บริการสาธารณสุข 63 สมาคมแต้จิ๋วแห่งประเทศไทย,10120,กรุงเทพมหานคร,เขตสาทร,แขวงยานนาวา,26759945
67,13.92866762,100.6593437,ศูนย์บริการสาธารณสุข 61 สังวาล ทัสนารมย์,10220,กรุงเทพมหานคร,เขตสายไหม,แขวงสายไหม,25360163
68,13.69400009,100.4348066,ศูนย์บริการสาธารณสุข 62 ตวงรัชฎ์ ศศะนาวิน-ภักดี ฐานปัญญา,10160,กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงบางหว้า,24555804
69,13.76027393,100.728363,ศูนย์บริการสาธารณสุข 45 ร่มเกล้า,10520,กรุงเทพมหานคร,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,25430746
70,13.69611695,100.5978654,ศูนย์บริการสาธารณสุข 34 โพธิ์ศรี,10260,กรุงเทพมหานคร,เขตพระโขนง,แขวงบางจาก,23319438
71,13.73977851,100.5057581,ศูนย์บริการสาธารณสุข 13 ไมตรี วานิช,10100,กรุงเทพมหานคร,เขตสัมพันธวงศ์,แขวงจักรวรรดิ,22227875
72,13.81332,100.7309,ศูนย์บริการสาธารณสุข 43 มีนบุรี,10510,กรุงเทพมหานคร,เขตมีนบุรี,แขวงมีนบุรี,25405615
73,13.77754285,100.5704302,ศูนย์บริการสาธารณสุข 52 สามเสนนอก,10400,กรุงเทพมหานคร,เขตดินแดง,แขวงดินแดง,22765996
74,13.74329272,100.4238564,ศูนย์บริการสาธารณสุข 47 คลองขวาง,10160,กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงคลองขวาง,24101814
75,13.71288061,100.6314413,ศูนย์บริการสาธารณสุข 22 วัดปากบ่อ,10250,กรุงเทพมหานคร,เขตสวนหลวง,แขวงสวนหลวง,23491816
76,13.70932871,100.5146847,ศูนย์บริการสาธารณสุข 14 แก้ว สีบุญเรือง,10120,กรุงเทพมหานคร,เขตบางคอแหลม,แขวงวัดพระยาไกร,22112353
77,13.83725017,100.6368343,ศูนย์บริการสาธารณสุข 56 ทับเจริญ,10240,กรุงเทพมหานคร,เขตบึงกุ่ม,แขวงนวลจันทร์,21842693
78,13.6427894,100.3785499,ศูนย์บริการสาธารณสุข 65 รักษาศุข บางบอน,10150,กรุงเทพมหานคร,เขตบางบอน,แขวงบางบอน,24530526
79,13.73076606,100.5200958,ศูนย์บริการสาธารณสุข 23 สี่พระยา,10500,กรุงเทพมหานคร,เขตบางรัก,แขวงสี่พระยา,22364055
80,13.8025771,100.5842947,ศูนย์บริการสาธารณสุข 15 ลาดพร้าว,10310,กรุงเทพมหานคร,เขตห้วยขวาง,แขวงสามเสนนอก,25418380
81,13.67675075,100.6623654,ศูนย์บริการสาธารณสุข 57 บุญเรือง ล้ำเลิศ,10250,กรุงเทพมหานคร,เขตประเวศ,แขวงหนองบอน,23961866
82,13.71914586,100.5856335,ศูนย์บริการสาธารณสุข 21 วัดธาตุทอง,10110,กรุงเทพมหานคร,เขตคลองเตย,แขวงพระโขนง,23916082
83,13.60723673,100.5066557,ศูนย์บริการสาธารณสุข 59 ทุ่งครุ,10140,กรุงเทพมหานคร,เขตทุ่งครุ,แขวงทุ่งครุ,24643057
84,13.68092764,100.5068047,ศูนย์บริการสาธารณสุข 39 ราษฎร์บูรณะ,10140,กรุงเทพมหานคร,เขตราษฎร์บูรณะ,แขวงราษฎร์บูรณะ,24277949
85,13.92545319,100.5807338,ศูนย์บริการสาธารณสุข 60 รสสุคนธ์ มโนชญากรณ์,10210,กรุงเทพมหานคร,เขตดอนเมือง,แขวงดอนเมือง,25655257
86,13.82750872,100.5262822,ศูนย์บริการสาธารณสุข 19 วงศ์สว่าง,10800,กรุงเทพมหานคร,เขตบางซื่อ,แขวงวงศ์สว่าง,29107314
